angDist,index,ra,dec,no,ra_hour,ra_min,ra_sec,ra_err,dec_deg,dec_min,dec_sec,dec_err,epoch,ra_epoch2000,dec_epoch2000,errHalfMaj,errHalfMin,errPosAng,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,duplicated_source,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_mag,bp_rp,radial_velocity,radial_velocity_error,teff_val,a_g_val,e_bp_min_rp_val,radius_val,lum_val
2.614998,46,137.483445,54.488949,2195,9,9,56.0267,2300,54,29,20.216,2000,1986.298,137.48306468600,54.48825701860,0.001,0.001,90,1023682919309621632,137.48269549248,0.0257,54.48747030536,0.0273,14.6311,0.0385,-49.808,0.059,-182.721,0.055,0,3.38677e+06,1.78282e+04,9.363900,1.54980e+06,3.18043e+04,9.875699,2.36536e+06,6.15498e+04,8.827177,1.048522,,,5080.00,0.3115,0.1620,1.06,0.679
2.072372,47,228.386169,38.568519,2285,15,13,32.6806,1700,38,34,6.67,2000,1986.299,228.38554742300,38.56821045870,0.001,0.001,0,1388595877786275968,228.38529559172,0.0186,38.56812006953,0.0226,4.2159,0.0262,-45.731,0.038,-20.994,0.049,0,1.73549e+06,7.90896e+03,10.089810,7.87567e+05,1.52798e+04,10.610669,1.33545e+06,1.49780e+04,9.447852,1.162817,,,4893.60,,,2.91,4.364
0.357686,48,257.606668,48.965728,2340,17,10,25.6004,2000,48,57,56.62,2000,1986.298,257.60667374900,48.96562871460,0.001,0.001,0,1414213266059221632,257.60669357536,0.0271,48.96551933028,0.0294,3.2970,0.0312,3.023,0.053,-25.405,0.056,0,1.51943e+07,8.52727e+04,7.734166,7.17583e+06,5.60225e+04,8.211708,1.21480e+07,9.75040e+04,7.050658,1.161050,,,4879.00,,,11.08,62.705
0.873107,49,263.172633,74.227212,2352,17,32,41.4319,4900,74,13,37.964,2000,1986.298,263.17183049000,74.22731799810,0.006,0.006,0,1655646778064790528,263.17067122748,0.1942,74.22748624083,0.2120,8.6146,0.1732,-73.187,0.370,39.075,0.390,0,5.68481e+07,8.52196e+04,6.301577,2.40732e+07,1.49362e+05,6.897555,4.57064e+07,2.50930e+05,5.611978,1.285577,-9.35,0.81,4807.17,0.3740,0.1437,8.53,35.026
0.119005,50,304.885081,38.731686,2442,20,19,32.4194,1700,38,43,54.068,2000,1985.035,304.88509591500,38.73165505830,0.001,0.001,0,2061291595788070656,304.88508298513,0.0219,38.73163925540,0.0266,0.7358,0.0289,-2.343,0.049,-3.670,0.055,0,1.49926e+07,1.25708e+04,7.748670,8.05992e+06,1.95301e+04,8.085562,9.95985e+06,1.93038e+04,7.266288,0.819274,,,5810.00,,,32.61,1091.602
1.848248,51,315.607366,27.807313,2460,21,2,25.7678,1500,27,48,26.325,2000,1989.005,315.60794534400,27.80734438150,0.001,0.001,0,1845206534070618624,315.60836985065,0.0235,27.80737300622,0.0354,19.6919,0.0366,87.209,0.058,6.648,0.063,0,2.53990e+07,4.80325e+04,7.176323,1.35294e+07,7.81202e+04,7.523192,1.67612e+07,9.58176e+04,6.701158,0.822034,,,5787.00,0.7930,0.3813,1.60,2.585
0.110707,52,329.163142,63.625572,2478,21,56,39.154,5000,63,37,32.06,2000,1983.6305,329.16309550100,63.62554921870,0.007,0.007,0,2216536246703152256,329.16307903901,0.2170,63.62554870938,0.2156,1.6661,0.2307,-1.699,0.462,-0.118,0.473,0,5.30577e+08,2.06746e+06,3.876495,9.68585e+07,8.88534e+05,5.386044,5.62500e+08,3.20750e+06,2.886614,2.499430,,,3494.50,0.7920,0.4210,365.62,17959.402
0.541398,53,42.231277,69.634139,2601,2,48,55.5065,3800,69,38,2.901,2000,1986.298,42.23129022340,69.63428931800,0.001,0.001,0,541801332594262912,42.23132626695,0.0301,69.63445066585,0.0383,15.3148,0.0502,2.913,0.054,37.474,0.074,0,6.21624e+07,5.91300e+04,6.204546,4.11503e+07,1.08686e+05,6.315456,3.04222e+07,1.16077e+05,6.053942,0.261514,,,7870.00,0.5330,0.2660,1.76,10.732
2.918443,54,109.866771,-16.394719,2603,7,19,28.025,1400,-16,23,40.988,2000,1986.219,109.86740936700,-16.39525018130,0.002,0.001,90,3030977013710528768,109.86815420273,0.0512,-16.39584654668,0.0538,23.3532,0.0706,165.960,0.107,-138.510,0.094,0,1.07046e+08,2.91645e+05,5.614437,6.57862e+07,3.88377e+05,5.806051,5.95626e+07,6.24946e+05,5.324485,0.481566,,,7068.33,0.8110,0.4745,1.84,7.630
1.020780,55,225.243389,-8.518904,2609,15,0,58.4134,1300,-8,31,8.055,2000,1986.218,225.24310743200,-8.51895747706,0.009,0.007,90,6332277920392457472,225.24284376185,0.2686,-8.51897319500,0.2382,8.3282,0.3343,-60.564,0.552,-3.651,0.457,0,2.15456e+08,9.21230e+05,4.854968,1.46880e+08,1.04235e+06,4.933985,9.29408e+07,1.28901e+06,4.841404,0.092581,,,8770.25,0.3958,0.1920,,
0.163740,56,240.420999,66.802823,2611,16,1,41.0398,3400,66,48,10.163,2000,1986.298,240.42088570300,66.80281421700,0.001,0.001,90,1642955252784454144,240.42080771602,0.0286,66.80279009657,0.0246,0.2101,0.0268,-7.135,0.046,-5.602,0.044,0,4.01255e+06,1.52885e+04,9.179815,1.38368e+06,1.33609e+04,9.998796,3.74238e+06,4.15090e+04,8.329050,1.669746,-143.91,1.29,4075.65,,,151.61,5714.161
0.089403,57,289.701694,19.610454,2614,19,18,48.4066,1400,19,36,37.634,2000,1985.035,289.70170159600,19.61047778100,0.001,0.001,0,4516549576568929408,289.70170177049,0.0348,19.61048329520,0.0420,3.6149,0.0490,0.038,0.072,1.281,0.082,0,4.91149e+07,8.43481e+04,6.460333,3.48530e+07,1.12657e+05,6.495787,2.18791e+07,1.60806e+05,6.411845,0.083942,,,8964.00,0.3717,0.1407,,
0.300889,58,183.336293,-9.079694,2664,12,13,20.7102,1400,-9,4,46.898,2000,1989.0039,183.33620971000,-9.07967912703,0.002,0.001,90,3582095053777917952,183.33616398616,0.0517,-9.07968396996,0.0511,6.8862,0.0655,-10.487,0.097,-1.125,0.085,0,5.18626e+06,1.46836e+04,8.901229,2.04615e+06,1.82222e+04,9.574042,4.46426e+06,3.50160e+04,8.137546,1.436497,,,4516.87,,,3.83,5.508
0.489263,59,65.495121,28.301925,2908,4,21,58.829,1500,28,18,6.93,2000,1985.036,65.49520117660,28.30180886530,0.002,0.001,90,164536250037820160,65.49524523901,0.0496,28.30169526304,0.0234,7.6728,0.0516,9.011,0.115,-26.385,0.072,1,5.71633e+06,5.50335e+03,8.795573,2.72552e+06,8.29141e+03,9.262766,4.24291e+06,9.59893e+03,8.192760,1.070006,,,5082.89,,,2.63,4.163
2.230227,60,100.328097,82.267933,3003,6,41,18.7432,9950,82,16,4.557,2000,1986.299,100.32950868300,82.26734332750,0.001,0.001,90,1143477013259041920,100.33090212155,0.0317,82.26669193702,0.0345,11.7771,0.0396,43.546,0.059,-151.291,0.057,0,4.11259e+06,2.85551e+04,9.153077,2.08017e+06,4.80651e+04,9.556139,2.90186e+06,5.55393e+04,8.605229,0.950910,,,5344.75,0.4022,0.2010,1.29,1.219
0.270972,61,109.103084,73.332552,3004,7,16,24.7401,4600,73,19,57.187,2000,1986.299,109.10307650500,73.33247676080,0.001,0.001,0,1112113066119992064,109.10304495405,0.0193,73.33240587155,0.0294,2.1071,0.0345,-2.102,0.041,-16.465,0.049,0,1.98095e+06,5.43444e+03,9.946182,9.44906e+05,7.19198e+03,10.412916,1.47273e+06,1.09935e+04,9.341610,1.071306,,,5320.74,,,5.05,18.402
